uuid,status,name,address,notes
7a9e473b-6821-3684-8b45-59e7ae5306d1,assigned,"Kamaria Maryati M.Ak","Dk. Haji No. 354, Pasuruan 77743, Sultra","Stress Test UUID Data"
0f3266fc-b5ee-34a3-8228-368d4399b518,assigned,"Chelsea Sabrina Wijayanti","Ds. Tambak No. 367, Cirebon 60207, Babel","Stress Test UUID Data"
570240e3-c510-394b-b4c5-0c9909c3ac3b,assigned,"Yunita Mala Sudiati","Jln. Bah Jaya No. 641, Madiun 79280, Banten","Stress Test UUID Data"
451fb3b7-02a8-343e-b104-76a1725d134a,assigned,"Darmanto Wisnu Maryadi","Psr. Sukajadi No. 988, Bukittinggi 39904, Kaltara","Stress Test UUID Data"
81a94ad5-6158-3b5c-a15a-d233765ae18e,assigned,"Daniswara Luwar Manullang","Psr. Kalimantan No. 226, Subulussalam 90153, Jabar","Stress Test UUID Data"
87384848-24ec-3394-b2f5-31751ebcaf41,assigned,"Kasiyah Hassanah","Ds. Sumpah Pemuda No. 706, Administrasi Jakarta Barat 13532, Malut","Stress Test UUID Data"
fce54ef4-8959-362a-afce-e34d4916185a,assigned,"Hani Fujiati","Ds. Aceh No. 753, Gunungsitoli 20659, Maluku","Stress Test UUID Data"
f366b2f2-9ef1-347e-9f22-ace40bf60621,assigned,"Adikara Cawisadi Halim S.Pd","Psr. Batako No. 481, Yogyakarta 50364, Jabar","Stress Test UUID Data"
3b94c80b-4a26-3c3b-8424-606fa99fda67,assigned,"Keisha Melani","Ki. Tentara Pelajar No. 293, Magelang 42942, Sumut","Stress Test UUID Data"
c273a023-0299-3f42-86c8-951c18c74583,assigned,"Malik Napitupulu","Gg. Untung Suropati No. 684, Surakarta 11201, Sumut","Stress Test UUID Data"
22d158d7-367e-3774-b044-413550025d3c,assigned,"Lasmanto Nashiruddin","Dk. Supono No. 156, Sawahlunto 74295, Jabar","Stress Test UUID Data"
5b1b371e-461d-39e2-a8f9-5d33926633c0,assigned,"Elisa Melani","Ds. Baranang No. 418, Batam 95312, Sulut","Stress Test UUID Data"
32a145af-d49f-318d-800e-0f8ff5e2672c,assigned,"Najwa Nadine Riyanti","Ki. B.Agam Dlm No. 557, Bontang 55274, Sultra","Stress Test UUID Data"
1f20f8a0-9317-3296-9b64-b5aa55be4447,assigned,"Capa Rajata","Kpg. Basmol Raya No. 30, Pematangsiantar 40220, Maluku","Stress Test UUID Data"
594df8ed-4ee5-3a70-b70e-d8ba490bf5af,assigned,"Vivi Riyanti S.Gz","Jln. Gajah Mada No. 753, Bengkulu 26059, Jateng","Stress Test UUID Data"
4d465171-ec2a-3e89-b7eb-69ceb34fe03b,assigned,"Sakti Waskita","Gg. Setia Budi No. 85, Metro 28208, Kaltara","Stress Test UUID Data"
afe55d8a-6bf6-3175-acc1-b32b7420c15f,assigned,"Koko Halim","Jln. Sentot Alibasa No. 575, Tanjung Pinang 35754, Kepri","Stress Test UUID Data"
51fed895-5cfb-31eb-b36e-ee2ad925a55b,assigned,"Dalima Maryati S.Sos","Jln. Adisumarmo No. 600, Sawahlunto 49799, Sumbar","Stress Test UUID Data"
4d79d605-c64b-3713-a402-aae959747415,assigned,"Ozy Kariman Mangunsong","Jln. Tambun No. 902, Tidore Kepulauan 60152, Bali","Stress Test UUID Data"
d87a6768-c838-39c0-a3df-3ca23c95b08f,assigned,"Saiful Asman Rajasa","Psr. Qrisdoren No. 641, Kotamobagu 65610, Bengkulu","Stress Test UUID Data"
5095d11e-4eb1-30c4-ab39-02de4a310059,assigned,"Yahya Firmansyah M.Ak","Ds. Laksamana No. 870, Bandung 68471, Aceh","Stress Test UUID Data"
6c99bbb0-ad74-387b-a763-0a39d42571b6,assigned,"Edi Putra S.E.I","Jr. Sudirman No. 595, Pariaman 98443, Pabar","Stress Test UUID Data"
ffc6cb08-0765-3d77-85cc-3e7eb06d223a,assigned,"Ade Nasyidah","Dk. Basoka Raya No. 266, Gorontalo 22434, Bengkulu","Stress Test UUID Data"
7f9662c8-7701-34d4-a409-c14a2b0de40d,assigned,"Queen Palastri","Kpg. Sadang Serang No. 720, Lubuklinggau 81297, Kaltim","Stress Test UUID Data"
11bd6b1c-408a-3a56-b0fd-33bffcb44616,assigned,"Aisyah Usyi Kusmawati","Jln. Kalimantan No. 794, Depok 61318, Pabar","Stress Test UUID Data"
b52f3b54-6d52-319e-b933-db5e78db82bc,assigned,"Puji Hartati","Psr. Bara Tambar No. 42, Administrasi Jakarta Pusat 11141, Lampung","Stress Test UUID Data"
37705a90-c5e4-380a-b78d-bf59aa0a821c,assigned,"Kamila Zelaya Wahyuni","Jr. Bahagia  No. 987, Kendari 59846, Sumsel","Stress Test UUID Data"
320e995b-8213-37ba-baf5-f5644723a497,assigned,"Karja Saefullah","Kpg. Bass No. 902, Palangka Raya 92286, Sumut","Stress Test UUID Data"
4acb2597-d147-332c-a3eb-f62cfa8b9a32,assigned,"Jessica Ophelia Wastuti M.Pd","Jln. Baung No. 270, Metro 20989, NTT","Stress Test UUID Data"
28b3ec1b-b452-3d90-8f08-2f5a96e2255d,assigned,"Rama Prasetyo S.IP","Ds. Jambu No. 599, Banjarbaru 60393, Jambi","Stress Test UUID Data"
db58c48a-d593-3df3-846e-de3ab3c17a37,assigned,"Jumari Firgantoro","Ki. Hayam Wuruk No. 160, Salatiga 36772, Bengkulu","Stress Test UUID Data"
30d38231-edc3-3d9a-880c-3423dd266a8c,assigned,"Kenari Maryanto Waluyo S.H.","Ki. Teuku Umar No. 43, Sibolga 62818, Gorontalo","Stress Test UUID Data"
069af4e5-c5af-3bfa-b5d2-23920a68701d,assigned,"Anastasia Maryati S.Psi","Jln. Imam No. 609, Prabumulih 98616, Sultra","Stress Test UUID Data"
9a02848d-a75b-3699-80ba-f1f20a2db196,assigned,"Karsana Nasim Megantara S.Sos","Jr. Madiun No. 964, Magelang 12622, Jatim","Stress Test UUID Data"
a6e06afe-5591-3cb7-b82f-585b15227493,assigned,"Umay Edison Waluyo","Jln. Bara No. 706, Jambi 89413, Babel","Stress Test UUID Data"
fe40ceeb-44ae-3037-b728-d71f7e90e7d7,assigned,"Pia Farah Prastuti M.Pd","Jln. Laksamana No. 527, Lhokseumawe 88873, Banten","Stress Test UUID Data"
75efd047-ae20-30a9-b245-df53bc0ba3a6,assigned,"Rahmi Cindy Pratiwi","Psr. Ciumbuleuit No. 501, Bukittinggi 73477, Babel","Stress Test UUID Data"
e825f227-347c-3fd5-be3e-bd14f57adfde,assigned,"Nasrullah Saputra","Psr. Balikpapan No. 855, Tual 73745, Banten","Stress Test UUID Data"
6b1625f4-2000-30a8-8af8-36062f96a9c7,assigned,"Lala Hastuti S.Gz","Kpg. Wahid Hasyim No. 543, Batu 37429, Sulbar","Stress Test UUID Data"
4f2af0af-d18a-325f-a8a4-af2698dd9e7c,assigned,"Balangga Jumari Firgantoro M.Farm","Gg. Wora Wari No. 348, Langsa 60638, Pabar","Stress Test UUID Data"
58fbf22c-5e7c-3f85-85dd-893bd99978a6,assigned,"Eva Wulandari","Ki. Sudirman No. 419, Cilegon 14472, Sulut","Stress Test UUID Data"
009c778a-f8bd-3886-827a-fe105e974b56,assigned,"Cawisono Lasmono Adriansyah","Kpg. Haji No. 235, Batam 45982, NTT","Stress Test UUID Data"
ecc7cfb4-eb3c-31cc-8031-2b9b3b8b1233,assigned,"Jarwa Uwais M.Ak","Dk. Cemara No. 772, Mojokerto 15255, DIY","Stress Test UUID Data"
97dca0b3-81e9-322b-aec5-943d24a05695,assigned,"Aisyah Sadina Zulaika","Dk. Ki Hajar Dewantara No. 638, Pekanbaru 28387, Jabar","Stress Test UUID Data"
f263c124-0764-3fc5-9143-b0c469281747,assigned,"Dwi Nyana Ramadan S.Pt","Kpg. Sentot Alibasa No. 364, Tanjung Pinang 99654, Kalteng","Stress Test UUID Data"
489fb35e-7310-3820-b223-e125e768ce98,assigned,"Gatot Jailani S.Farm","Psr. Radio No. 304, Bontang 76125, Kaltara","Stress Test UUID Data"
18494006-15df-3642-8247-e35fe3f658b2,assigned,"Karja Wahyudin","Ds. Bank Dagang Negara No. 355, Administrasi Jakarta Utara 21105, Sulut","Stress Test UUID Data"
0b19802a-0de6-3ab7-a097-0037e26757b1,assigned,"Muni Pangestu Saputra S.Pt","Jln. Taman No. 712, Dumai 34432, Banten","Stress Test UUID Data"
4f6f84e3-e387-3cdc-acf6-760fdcad00d5,assigned,"Elisa Wijayanti","Ki. Diponegoro No. 540, Tasikmalaya 84499, Kalbar","Stress Test UUID Data"
2edecd42-c105-3482-aeb5-bd51e5bb449f,assigned,"Karya Putra","Gg. Villa No. 431, Sukabumi 87250, Kalsel","Stress Test UUID Data"
6dbf6ba5-d7de-3f51-a397-76e8575f1523,assigned,"Jatmiko Maheswara","Kpg. Tambun No. 425, Bandung 68403, Sulteng","Stress Test UUID Data"
2d0fdb01-c02a-38dc-8391-d6898c946f2b,assigned,"Sabar Widodo","Jln. Thamrin No. 627, Bima 98444, Aceh","Stress Test UUID Data"
a06b8c13-14e0-3374-aed0-bd07a55375f4,assigned,"Mala Pia Purnawati S.Pt","Ki. Thamrin No. 457, Tomohon 39940, Jatim","Stress Test UUID Data"
f969e99f-c1bd-313f-8ce3-858be0c44dc7,assigned,"Devi Padmasari","Jr. Daan No. 335, Gunungsitoli 50466, Jabar","Stress Test UUID Data"
ada59532-0099-3c0b-b0eb-9fcf8983e6ec,assigned,"Elma Syahrini Wulandari","Jln. Gading No. 115, Bukittinggi 67326, Kepri","Stress Test UUID Data"
a04149cf-73d6-3bb3-81b6-67c0873619a0,assigned,"Eka Ramadan","Ki. Ronggowarsito No. 366, Lubuklinggau 23732, Kaltim","Stress Test UUID Data"
f2b57eff-ddc2-37c8-aa22-c4a4825d24d9,assigned,"Janet Maryati","Gg. Dr. Junjunan No. 154, Depok 21492, Jatim","Stress Test UUID Data"
70ebc5f8-3891-353b-888a-905e37199f4a,assigned,"Adinata Siregar S.IP","Dk. Rajawali Timur No. 374, Palangka Raya 88552, DIY","Stress Test UUID Data"
6e354926-3d15-3e27-8153-f3f1dc0a2cf1,assigned,"Jumadi Anggriawan","Ds. Salam No. 498, Metro 16815, DIY","Stress Test UUID Data"
c34f8ccc-600c-3f93-a607-86e0614dde95,assigned,"Maida Nasyiah","Gg. Sudirman No. 780, Tangerang 56093, Sultra","Stress Test UUID Data"
b9cf6fca-dd20-386a-a598-8596bb2d7af7,assigned,"Kasiyah Nasyiah S.IP","Ds. Lada No. 294, Administrasi Jakarta Pusat 52660, Sulbar","Stress Test UUID Data"
1c3e0d29-c4e4-357f-b762-33ecc0074f49,assigned,"Rina Paulin Farida","Jln. Basuki No. 311, Bandung 90375, DKI","Stress Test UUID Data"
c36ee79c-af97-3615-b9ab-2912690b5aaf,assigned,"Ayu Safitri","Dk. Surapati No. 904, Bau-Bau 90542, Bengkulu","Stress Test UUID Data"
a617e5b6-9699-3ff2-bec2-3175856a3210,assigned,"Siti Riyanti S.Psi","Gg. Suniaraja No. 145, Gunungsitoli 46491, Bengkulu","Stress Test UUID Data"
fab4635d-f6bf-39b5-a57d-d70ec6b43b31,assigned,"Samsul Kajen Tampubolon S.T.","Jr. Antapani Lama No. 145, Depok 48137, Banten","Stress Test UUID Data"
209dfe81-23e6-3db8-8bcc-3bf1c52dac1a,assigned,"Yuni Usyi Utami S.IP","Ki. Salak No. 688, Kendari 26834, Sulbar","Stress Test UUID Data"
11183333-3993-3e60-a4c1-e26134cde2b4,assigned,"Hana Utami","Gg. Bambu No. 158, Pangkal Pinang 63384, Sulbar","Stress Test UUID Data"
73625dc9-fe4c-3588-840c-1c65ce0a93c8,assigned,"Tiara Haryanti","Gg. Yogyakarta No. 705, Pekanbaru 21945, Sulsel","Stress Test UUID Data"
1193ec47-9889-353e-b212-51720df7edb1,assigned,"Yunita Victoria Nuraini","Jln. Baung No. 348, Makassar 41904, Kaltim","Stress Test UUID Data"
4ee23016-4c7b-3a87-93b1-e310c71ea4c9,assigned,"Warsa Suwarno","Ki. Otto No. 277, Bontang 25258, Kaltara","Stress Test UUID Data"
7971d67e-e817-3425-8008-0e2bfcc769cf,assigned,"Oni Andriani","Jln. Dago No. 666, Kediri 47934, Aceh","Stress Test UUID Data"
aaa5de53-f912-3eb2-984f-ea15a42542fb,assigned,"Cemani Maulana","Kpg. Balikpapan No. 74, Bima 62158, Jambi","Stress Test UUID Data"
c7419daf-23bb-3fa2-941f-bd42d491e76a,assigned,"Jaka Habibi S.Kom","Ki. Baja Raya No. 828, Manado 36605, Bengkulu","Stress Test UUID Data"
38ad3523-8553-3130-b51d-c5886135dc0e,assigned,"Raditya Cagak Firmansyah M.Ak","Psr. Aceh No. 398, Batam 49866, Kalsel","Stress Test UUID Data"
0952210f-fc1c-3dca-b35d-b9a5a3f4e360,assigned,"Fitria Haryanti","Ds. Yosodipuro No. 594, Tanjungbalai 84414, Kaltim","Stress Test UUID Data"
cf23f9ef-2113-3a3a-9f2d-4e4259aafdff,assigned,"Genta Laksita","Kpg. Tangkuban Perahu No. 365, Palu 43845, Kaltara","Stress Test UUID Data"
8a6e143d-6728-3156-9616-5112da2a730a,assigned,"Vicky Uyainah","Ki. Mahakam No. 114, Tarakan 38177, Kalbar","Stress Test UUID Data"
03bc5cfa-21f4-3d06-b57f-d1622e83fc78,assigned,"Sabrina Suryatmi","Jr. Baha No. 583, Administrasi Jakarta Timur 39858, Jabar","Stress Test UUID Data"
54678a97-96ca-3f4b-9b56-fe42904118e1,assigned,"Harsaya Sihotang M.TI.","Ds. Asia Afrika No. 507, Palangka Raya 36835, Kalteng","Stress Test UUID Data"
25fdca84-a9da-3ee6-affe-c537e4402fb8,assigned,"Chelsea Utami","Gg. HOS. Cjokroaminoto (Pasirkaliki) No. 465, Bitung 16043, Gorontalo","Stress Test UUID Data"
3d2e630d-9840-34d7-9260-d39308db7ffb,assigned,"Darimin Margana Samosir M.Pd","Jr. Mahakam No. 476, Tidore Kepulauan 49943, Riau","Stress Test UUID Data"
ca06fe3a-3534-3433-a050-405701eb8237,assigned,"Nadia Laksmiwati S.E.I","Gg. Sudirman No. 318, Metro 35514, Papua","Stress Test UUID Data"
bcf05781-eaff-38de-aedb-aa9aba2259d0,assigned,"Ismail Firgantoro","Jr. Baik No. 117, Binjai 15056, Sulsel","Stress Test UUID Data"
98ac28de-e0ac-303d-ab6c-af18205992e9,assigned,"Harimurti Situmorang","Gg. Ahmad Dahlan No. 458, Sukabumi 79070, Riau","Stress Test UUID Data"
e7dfe382-51b6-30fa-b87d-5810cdd95935,assigned,"Wisnu Putra S.I.Kom","Gg. Wora Wari No. 904, Administrasi Jakarta Pusat 12110, DIY","Stress Test UUID Data"
2c25593f-f78c-31e6-8bc6-eb6cb1e754f3,assigned,"Amelia Yulia Mayasari S.E.I","Ki. Bakau No. 164, Bitung 40781, DKI","Stress Test UUID Data"
03ab3d95-93b6-30ad-bf24-033852e42f09,assigned,"Uli Rahayu Purnawati","Jr. Otista No. 97, Cirebon 70510, DIY","Stress Test UUID Data"
7b5b4056-df98-3ff6-a053-8029e26d7e11,assigned,"Sabrina Syahrini Purnawati","Kpg. Basoka Raya No. 580, Administrasi Jakarta Pusat 50765, Papua","Stress Test UUID Data"
aee3f296-dc5d-32c1-95d6-be1c7126c96c,assigned,"Pranata Marbun","Jln. Basket No. 119, Yogyakarta 81136, Kepri","Stress Test UUID Data"
d9eb3f5f-c1be-3879-91d3-8b10aec76474,assigned,"Aisyah Nurdiyanti","Gg. Raden No. 728, Lubuklinggau 12255, Jambi","Stress Test UUID Data"
c553c812-d28b-38db-b039-0379df61dc6d,assigned,"Damu Tamba","Psr. Barasak No. 594, Malang 63217, Aceh","Stress Test UUID Data"
102ddc49-4757-3e6d-9948-dd0e02911f5c,assigned,"Puti Silvia Susanti S.H.","Kpg. Lembong No. 20, Probolinggo 51043, Kaltim","Stress Test UUID Data"
b33a2a0e-ace3-315d-b3c8-69ecf78541e5,assigned,"Niyaga Anggriawan S.H.","Ds. Wahidin Sudirohusodo No. 747, Dumai 88752, Sumbar","Stress Test UUID Data"
1f2a78eb-6a95-3085-9ab2-225866645485,assigned,"Ika Wahyuni","Ds. Wahid Hasyim No. 27, Bau-Bau 30151, Sumbar","Stress Test UUID Data"
24cfbd6c-21d2-3389-912f-f1bd9034facf,assigned,"Jasmin Fujiati","Dk. Kusmanto No. 758, Palangka Raya 63327, Jateng","Stress Test UUID Data"
1ddf9c03-c742-394b-95ad-a93362c2e195,assigned,"Viman Pranowo","Psr. Bhayangkara No. 1, Kediri 65785, Kaltara","Stress Test UUID Data"
b9ac79cf-0902-356e-ad58-57c4cc34b9ef,assigned,"Raden Nashiruddin S.E.","Jln. Moch. Yamin No. 214, Dumai 80073, Bengkulu","Stress Test UUID Data"
50c4704b-c8e5-3f88-a26e-97564d94c4a7,assigned,"Daryani Habibi M.M.","Ds. Achmad No. 145, Pekanbaru 78004, Kalbar","Stress Test UUID Data"
7326100e-a3fe-38e6-932c-c24f354435a6,assigned,"Eva Oktaviani","Dk. Sumpah Pemuda No. 857, Bengkulu 91719, Jateng","Stress Test UUID Data"
eb26effd-b73a-3224-9b67-70628defe70d,assigned,"Balapati Firgantoro","Ds. Basuki Rahmat  No. 432, Denpasar 58171, Sulsel","Stress Test UUID Data"
fcf3581b-4c2e-3842-aa92-71ab1ca334df,assigned,"Jasmani Gunarto","Jln. Arifin No. 770, Balikpapan 19292, Sumbar","Stress Test UUID Data"
62b7d427-ebb0-3171-bd7f-e21f12b46174,assigned,"Kartika Janet Laksita S.Ked","Psr. Pasir Koja No. 581, Administrasi Jakarta Pusat 91203, Riau","Stress Test UUID Data"
2efe971d-5045-314d-8643-f06e9aa5025a,assigned,"Putri Suartini","Gg. Siliwangi No. 413, Pekanbaru 59191, Sultra","Stress Test UUID Data"
6577c69c-19b8-370f-8846-4032b98e7a57,assigned,"Eja Baktiadi Saptono M.Ak","Ds. Halim No. 819, Magelang 58539, Sumsel","Stress Test UUID Data"
5f8249e4-398e-3b53-bb2b-4fb027548fec,assigned,"Kurnia Kuswoyo","Ds. Gedebage Selatan No. 790, Bogor 12849, Pabar","Stress Test UUID Data"
107ac27a-5bb8-3658-b32b-b03beaefd59a,assigned,"Lala Andriani M.M.","Ds. Villa No. 758, Parepare 67122, Bengkulu","Stress Test UUID Data"
4107759e-e9a7-37e7-9b9b-529023e74979,assigned,"Xanana Wacana","Ki. Basoka No. 803, Cirebon 65754, Babel","Stress Test UUID Data"
742ece75-9567-3ba1-9917-579f2b2004a7,assigned,"Sari Diah Lestari S.Psi","Ki. Imam No. 3, Binjai 90420, Jambi","Stress Test UUID Data"
2eaecc1e-1200-3811-ab1f-c7831323d8a3,assigned,"Lukman Limar Saragih","Jln. Suryo No. 61, Samarinda 90299, Gorontalo","Stress Test UUID Data"
eee2edd3-9ac0-3ba0-a50f-b7584250d60b,assigned,"Sabri Pranawa Wijaya","Dk. PHH. Mustofa No. 131, Pematangsiantar 97017, Jambi","Stress Test UUID Data"
b21672ec-406c-39d4-ac19-52ef74b9978f,assigned,"Emas Napitupulu","Gg. Yosodipuro No. 670, Makassar 48967, Kaltim","Stress Test UUID Data"
e86fe6b2-5f66-3191-91ad-473661128c9e,assigned,"Rini Uchita Melani S.I.Kom","Kpg. Honggowongso No. 833, Jambi 25939, DKI","Stress Test UUID Data"
fb5fbc02-c819-3421-b07c-78724b7e2b0e,assigned,"Ikin Putra","Ki. M.T. Haryono No. 878, Bandar Lampung 66761, Sultra","Stress Test UUID Data"
4fd94d05-1238-3176-b5e8-987ce06fe189,assigned,"Zamira Yulianti","Jln. Bappenas No. 610, Bekasi 62705, Banten","Stress Test UUID Data"
30678f47-4adb-3c41-a1b1-349168e8bfaa,assigned,"Ifa Hani Hassanah","Jr. Gardujati No. 1, Kupang 84638, Sumbar","Stress Test UUID Data"
70f530ac-fcba-3fa8-8c50-b75169aadbdd,assigned,"Kacung Firmansyah","Dk. Baya Kali Bungur No. 997, Cimahi 54990, Aceh","Stress Test UUID Data"
6f96c26c-cb3c-3fb4-9e81-340c079027fe,assigned,"Naradi Saputra","Ki. Bakau No. 905, Sukabumi 87310, Jambi","Stress Test UUID Data"
e56ff376-9063-3e5c-8382-c228adab7797,assigned,"Lutfan Galang Suwarno S.T.","Jln. Bacang No. 868, Serang 41460, Sumbar","Stress Test UUID Data"
e3d867ec-8da1-3001-a4c3-e0af307fc4b5,assigned,"Taufan Anggriawan","Kpg. Kartini No. 691, Salatiga 59611, NTT","Stress Test UUID Data"
959049ce-5804-3508-92e0-f92c9fe13b50,assigned,"Cawisadi Luwes Napitupulu","Jln. Dr. Junjunan No. 782, Tarakan 75122, Papua","Stress Test UUID Data"
81a29105-6bd3-3a48-a476-1e4a3f326480,assigned,"Makara Pangestu S.Pt","Ds. Bappenas No. 737, Pagar Alam 47343, Kalsel","Stress Test UUID Data"
beb2d248-d646-3f10-8aa7-af74e417de9c,assigned,"Putri Zulaika","Jr. Raden Saleh No. 662, Tomohon 35806, Jambi","Stress Test UUID Data"
41d395ee-95fc-31b0-b400-fb5d7c91730a,assigned,"Gabriella Anggraini","Gg. M.T. Haryono No. 142, Bandar Lampung 99303, Sulbar","Stress Test UUID Data"
9bcca7d9-1cc4-39d8-826f-282e63bd775f,assigned,"Jayadi Jaga Hutasoit M.Farm","Ki. Ir. H. Juanda No. 248, Batam 43863, Sulut","Stress Test UUID Data"
1ca3eb00-7cb6-3c3c-b271-1f25bd9114e9,assigned,"Puspa Safitri M.Kom.","Psr. Ters. Jakarta No. 480, Pagar Alam 23275, Sumbar","Stress Test UUID Data"
23d7631d-6738-349f-8252-22183b8e47e3,assigned,"Maria Hassanah","Ki. Wahidin No. 625, Tanjungbalai 27836, Sumut","Stress Test UUID Data"
a6caf836-abf9-3687-b402-da17478911fb,assigned,"Tira Genta Susanti S.Sos","Ds. Moch. Yamin No. 147, Bontang 92594, Maluku","Stress Test UUID Data"
0fb9f427-d8b0-38a8-8b65-f6f5b2d1f563,assigned,"Hasna Purnawati","Jr. M.T. Haryono No. 155, Pangkal Pinang 94370, Lampung","Stress Test UUID Data"
90cb7c96-eee9-3aa8-b426-95033206333d,assigned,"Salwa Mayasari","Kpg. Bata Putih No. 846, Ambon 82334, Bengkulu","Stress Test UUID Data"
8d6bc344-f386-31cd-ba85-5dc1794f29c1,assigned,"Ghaliyati Wastuti","Psr. Kali No. 333, Tangerang Selatan 38386, Kaltara","Stress Test UUID Data"
7ad99172-b123-3584-aeff-c802d94e0688,assigned,"Anastasia Farida","Jln. Bakin No. 874, Administrasi Jakarta Utara 10423, Papua","Stress Test UUID Data"
77afc8c6-451c-38bd-b080-a904f6a3188c,assigned,"Jaga Rajata S.Farm","Gg. Sugiono No. 731, Denpasar 98597, NTB","Stress Test UUID Data"
f1068b1d-9b98-305a-8600-a5fc92dd168d,assigned,"Ulya Prastuti","Kpg. Cemara No. 687, Padangpanjang 54567, Sumbar","Stress Test UUID Data"
123693bf-af0c-39b8-a6b0-9718a8543636,assigned,"Sidiq Putra","Ds. Gatot Subroto No. 496, Bukittinggi 66244, Jatim","Stress Test UUID Data"
387081e3-6abf-345b-8466-eac3a9fd06f7,assigned,"Anastasia Namaga","Psr. Yos No. 562, Solok 82414, Kalbar","Stress Test UUID Data"
86d4b00c-3e1d-3f81-b970-ec90e4490ab5,assigned,"Ellis Yuliarti","Kpg. Samanhudi No. 851, Subulussalam 13021, Maluku","Stress Test UUID Data"
68fc2a8f-b413-3df4-ac62-263a3a9b29c7,assigned,"Samsul Eko Kurniawan M.Farm","Jln. Umalas No. 280, Solok 11208, Bengkulu","Stress Test UUID Data"
b7611b03-9a90-3e6a-af2b-52c863f949d5,assigned,"Oliva Aryani","Gg. Bata Putih No. 967, Madiun 29344, NTT","Stress Test UUID Data"
6a8ea7cb-7c7f-39ad-ac98-b1dfe268b8a4,assigned,"Umi Rina Yuniar S.E.","Ki. Padma No. 256, Kupang 29722, Kaltim","Stress Test UUID Data"
