external_id,status,name,address,notes
P-00040,assigned,"Emin Ivan Widodo","Ki. Aceh No. 927, Administrasi Jakarta Utara 34205, Malut","Generated Static Data"
P-00041,assigned,"Martani Thamrin","Jr. Wahid No. 697, Cirebon 27095, Sulteng","Generated Static Data"
P-00042,assigned,"Jessica Nasyiah","Jln. Bawal No. 617, Tangerang Selatan 37113, Sulteng","Generated Static Data"
P-00043,assigned,"Gilda Laksmiwati","Dk. Bara Tambar No. 564, Lubuklinggau 18344, Bengkulu","Generated Static Data"
P-00044,assigned,"Nalar Soleh Firgantoro S.Farm","Dk. Yosodipuro No. 441, Madiun 10635, Jateng","Generated Static Data"
P-00045,assigned,"Hana Sakura Halimah S.I.Kom","Ds. Karel S. Tubun No. 473, Madiun 79961, Banten","Generated Static Data"
P-00046,assigned,"Kariman Daruna Gunawan","Jln. Wahidin No. 853, Dumai 78219, Sultra","Generated Static Data"
P-00047,assigned,"Makuta Hutagalung M.TI.","Psr. Hang No. 332, Lhokseumawe 52758, Malut","Generated Static Data"
P-00048,assigned,"Bagya Irawan S.IP","Jln. Imam No. 92, Banjarmasin 12847, DIY","Generated Static Data"
P-00049,assigned,"Malik Situmorang M.Ak","Jln. Yoga No. 1, Bontang 16449, Sultra","Generated Static Data"
P-00050,assigned,"Jasmin Dewi Lailasari M.M.","Ki. Cokroaminoto No. 976, Bukittinggi 51171, NTT","Generated Static Data"
P-00051,assigned,"Drajat Mansur","Kpg. R.M. Said No. 328, Ambon 98072, Sumbar","Generated Static Data"
P-00052,assigned,"Lalita Laksita","Psr. Padma No. 931, Subulussalam 75453, Papua","Generated Static Data"
P-00053,assigned,"Tedi Kajen Jailani","Ds. Banda No. 150, Serang 85871, Bengkulu","Generated Static Data"
P-00054,assigned,"Okto Prayoga","Dk. Bawal No. 650, Bogor 24309, Sumsel","Generated Static Data"
P-00055,assigned,"Ikhsan Dongoran","Jr. Bahagia  No. 987, Kendari 59846, Sumsel","Generated Static Data"
P-00056,assigned,"Cahyadi Darmana Wibowo","Kpg. Batako No. 316, Medan 88066, Pabar","Generated Static Data"
P-00057,assigned,"Kamaria Diana Usada S.Pt","Dk. Babah No. 185, Salatiga 72114, Jambi","Generated Static Data"
P-00058,assigned,"Elon Mandala","Jln. Abdul. Muis No. 982, Bogor 13344, Kalbar","Generated Static Data"
P-00059,assigned,"Kasusra Mustofa","Jln. Suniaraja No. 60, Depok 76054, Sulsel","Generated Static Data"
P-00060,assigned,"Fitriani Cinthia Hassanah S.H.","Kpg. Eka No. 431, Sabang 93524, Lampung","Generated Static Data"
P-00061,assigned,"Rahmat Harto Sitorus S.I.Kom","Gg. Yos No. 68, Palembang 36747, Banten","Generated Static Data"
P-00062,assigned,"Adika Sihombing","Jln. Gremet No. 375, Administrasi Jakarta Timur 10695, Papua","Generated Static Data"
P-00063,assigned,"Nasim Megantara","Ki. Wahidin Sudirohusodo No. 396, Sorong 29074, Riau","Generated Static Data"
P-00064,assigned,"Usyi Kania Usamah","Gg. Merdeka No. 669, Tarakan 61834, NTB","Generated Static Data"
P-00065,assigned,"Patricia Oktaviani S.Sos","Jr. Dago No. 658, Palangka Raya 46075, Lampung","Generated Static Data"
P-00066,assigned,"Legawa Marpaung S.Farm","Jln. Barat No. 173, Samarinda 18890, Malut","Generated Static Data"
P-00067,assigned,"Safina Tari Nurdiyanti S.E.I","Jr. Adisucipto No. 552, Sabang 67090, DKI","Generated Static Data"
P-00068,assigned,"Ilsa Hassanah S.Kom","Gg. Bank Dagang Negara No. 415, Tangerang 24434, Bengkulu","Generated Static Data"
P-00069,assigned,"Olga Mandala S.Pt","Jln. Kiaracondong No. 309, Kotamobagu 88869, Sulut","Generated Static Data"
P-00070,assigned,"Farhunnisa Fujiati S.Gz","Jln. Bakhita No. 332, Manado 63892, Riau","Generated Static Data"
P-00071,assigned,"Eva Wulandari","Ki. Sudirman No. 419, Cilegon 14472, Sulut","Generated Static Data"
P-00072,assigned,"Dipa Pradana S.E.","Jln. Ekonomi No. 541, Pekalongan 86935, Kaltim","Generated Static Data"
P-00073,assigned,"Dasa Dabukke","Psr. Eka No. 251, Tarakan 78960, Banten","Generated Static Data"
P-00074,assigned,"Yance Karimah Utami","Ki. Batako No. 562, Parepare 54865, Lampung","Generated Static Data"
P-00075,assigned,"Fitria Namaga","Jln. Baing No. 445, Administrasi Jakarta Timur 98271, Sumbar","Generated Static Data"
P-00076,assigned,"Puspa Namaga S.E.","Kpg. Moch. Ramdan No. 113, Prabumulih 43863, Sumut","Generated Static Data"
P-00077,assigned,"Kairav Legawa Uwais","Jln. Bah Jaya No. 845, Bengkulu 39601, Sultra","Generated Static Data"
P-00078,assigned,"Karja Wahyudin","Ds. Bank Dagang Negara No. 355, Administrasi Jakarta Utara 21105, Sulut","Generated Static Data"
P-00079,assigned,"Daliono Omar Siregar S.Farm","Jln. Abdul Muis No. 164, Manado 50242, Kaltim","Generated Static Data"
P-00080,assigned,"Vinsen Lazuardi","Psr. HOS. Cjokroaminoto (Pasirkaliki) No. 182, Jayapura 65291, DIY","Generated Static Data"
P-00081,assigned,"Amalia Andriani","Jln. Supomo No. 302, Balikpapan 27762, Banten","Generated Static Data"
P-00082,assigned,"Nasab Putra S.Psi","Jr. Dago No. 114, Sawahlunto 13551, Jateng","Generated Static Data"
P-00083,assigned,"Viman Nashiruddin","Psr. Baha No. 297, Ternate 88369, Sulbar","Generated Static Data"
P-00084,assigned,"Yessi Tania Palastri S.E.I","Gg. Bahagia No. 377, Padang 70868, Kepri","Generated Static Data"
P-00085,assigned,"Maya Mandasari S.Pt","Jln. Salatiga No. 902, Tual 11581, Sulsel","Generated Static Data"
P-00086,assigned,"Siti Mardhiyah","Kpg. Dipenogoro No. 367, Banjar 46862, Aceh","Generated Static Data"
P-00087,assigned,"Elma Syahrini Wulandari","Jln. Gading No. 115, Bukittinggi 67326, Kepri","Generated Static Data"
P-00088,assigned,"Fitriani Fujiati","Jln. Basmol Raya No. 585, Makassar 87779, Jatim","Generated Static Data"
P-00089,assigned,"Cakrawala Mumpuni Natsir","Dk. Baja Raya No. 611, Tomohon 42190, Gorontalo","Generated Static Data"
P-00090,assigned,"Xanana Cemeti Adriansyah","Ki. Elang No. 117, Kediri 56171, Malut","Generated Static Data"
P-00091,assigned,"Yuliana Kamila Padmasari S.Kom","Jr. Gotong Royong No. 587, Langsa 35947, NTT","Generated Static Data"
P-00092,assigned,"Martaka Sitorus","Dk. Jend. Sudirman No. 845, Tanjung Pinang 16566, Sulsel","Generated Static Data"
P-00093,assigned,"Lutfan Setiawan","Kpg. Basoka Raya No. 26, Bontang 40929, Sulut","Generated Static Data"
P-00094,assigned,"Ami Ellis Maryati","Gg. Suryo No. 410, Sukabumi 63682, Lampung","Generated Static Data"
P-00095,assigned,"Nasab Megantara M.Ak","Ki. Banda No. 829, Tarakan 66361, Jatim","Generated Static Data"
P-00096,assigned,"Irnanto Dacin Utama M.Pd","Kpg. Babakan No. 364, Makassar 91645, Kalsel","Generated Static Data"
P-00097,assigned,"Dewi Alika Nasyiah S.T.","Ki. Tambak No. 260, Pontianak 61199, Bali","Generated Static Data"
P-00098,assigned,"Samsul Kajen Tampubolon S.T.","Jr. Antapani Lama No. 145, Depok 48137, Banten","Generated Static Data"
P-00099,assigned,"Kamaria Nuraini","Dk. Bakau No. 43, Prabumulih 68616, Sumsel","Generated Static Data"
P-00100,assigned,"Daliono Sinaga","Psr. Orang No. 289, Pematangsiantar 33722, Bali","Generated Static Data"
P-00101,assigned,"Jamalia Rahmawati","Gg. Yosodipuro No. 208, Bukittinggi 63145, Pabar","Generated Static Data"
P-00102,assigned,"Radit Iswahyudi","Dk. Bakhita No. 964, Pekanbaru 25419, Kaltim","Generated Static Data"
P-00103,assigned,"Atma Irnanto Sirait S.Farm","Dk. Baik No. 301, Bekasi 52761, NTT","Generated Static Data"
P-00104,assigned,"Heru Tasdik Widodo","Dk. Bagas Pati No. 459, Administrasi Jakarta Timur 29356, Jatim","Generated Static Data"
P-00105,assigned,"Diana Gabriella Palastri","Jr. Sam Ratulangi No. 634, Yogyakarta 36504, Babel","Generated Static Data"
P-00106,assigned,"Uchita Tira Yuniar S.Gz","Jr. Untung Suropati No. 186, Tomohon 54157, Bengkulu","Generated Static Data"
P-00107,assigned,"Laras Mulyani","Ki. Baja Raya No. 828, Manado 36605, Bengkulu","Generated Static Data"
P-00108,assigned,"Irnanto Ikhsan Suryono S.I.Kom","Ki. Rajawali Timur No. 465, Palangka Raya 60711, Sumsel","Generated Static Data"
P-00109,assigned,"Irwan Salahudin","Kpg. Moch. Toha No. 950, Administrasi Jakarta Barat 29747, Babel","Generated Static Data"
P-00110,assigned,"Cakrawala Jinawi Gunarto","Ds. Reksoninten No. 934, Administrasi Jakarta Timur 52791, Sumbar","Generated Static Data"
P-00111,assigned,"Kezia Palastri","Ds. Merdeka No. 772, Magelang 31964, Kalsel","Generated Static Data"
P-00112,assigned,"Maimunah Wastuti","Gg. Bawal No. 600, Bukittinggi 81036, Sulut","Generated Static Data"
P-00113,assigned,"Dirja Januar","Ds. Babah No. 921, Administrasi Jakarta Pusat 39139, Sulsel","Generated Static Data"
P-00114,assigned,"Akarsana Drajat Natsir","Dk. Yogyakarta No. 443, Bitung 30194, Jabar","Generated Static Data"
P-00115,assigned,"Ina Zulaika M.TI.","Jln. Imam No. 614, Padang 22016, Kalbar","Generated Static Data"
P-00116,assigned,"Darimin Margana Samosir M.Pd","Jr. Mahakam No. 476, Tidore Kepulauan 49943, Riau","Generated Static Data"
P-00117,assigned,"Lanang Nababan","Ds. Laswi No. 967, Tomohon 67539, Jambi","Generated Static Data"
P-00118,assigned,"Rendy Mangunsong","Gg. Umalas No. 476, Depok 93656, Sulbar","Generated Static Data"
P-00119,assigned,"Harjaya Najmudin S.Kom","Dk. Rajawali Timur No. 731, Subulussalam 94010, Sumbar","Generated Static Data"
P-00120,assigned,"Rangga Utama","Psr. Kiaracondong No. 60, Palangka Raya 93391, Sulsel","Generated Static Data"
P-00121,assigned,"Carla Prastuti","Gg. B.Agam 1 No. 352, Jambi 92855, Jabar","Generated Static Data"
P-00122,assigned,"Ratna Nasyidah","Jln. Jagakarsa No. 54, Binjai 28959, Papua","Generated Static Data"
P-00123,assigned,"Diana Handayani","Jr. HOS. Cjokroaminoto (Pasirkaliki) No. 116, Bau-Bau 26087, Jatim","Generated Static Data"
P-00124,assigned,"Ellis Palastri S.I.Kom","Gg. Tangkuban Perahu No. 599, Tangerang 84827, NTT","Generated Static Data"
P-00125,assigned,"Akarsana Jailani M.Ak","Gg. Basuki No. 117, Bima 24457, DKI","Generated Static Data"
P-00126,assigned,"Virman Salahudin S.Pd","Gg. Ujung No. 340, Gunungsitoli 43498, Lampung","Generated Static Data"
P-00127,assigned,"Balangga Radit Kurniawan S.Pd","Psr. Qrisdoren No. 317, Malang 74263, Jatim","Generated Static Data"
P-00128,assigned,"Prabawa Suryono","Ki. Eka No. 600, Bukittinggi 38060, Babel","Generated Static Data"
P-00129,assigned,"Kayla Usamah","Kpg. Raya Ujungberung No. 21, Palembang 12931, NTB","Generated Static Data"
P-00130,assigned,"Ira Winda Oktaviani","Ds. Kyai Gede No. 984, Cimahi 92118, NTB","Generated Static Data"
P-00131,assigned,"Ika Wahyuni","Ds. Wahid Hasyim No. 27, Bau-Bau 30151, Sumbar","Generated Static Data"
P-00132,assigned,"Emong Luthfi Simanjuntak M.Kom.","Dk. Kusmanto No. 758, Palangka Raya 63327, Jateng","Generated Static Data"
P-00133,assigned,"Mumpuni Megantara","Kpg. Wahid Hasyim No. 47, Sorong 94417, Kalsel","Generated Static Data"
P-00134,assigned,"Rosman Nrima Marpaung M.Kom.","Kpg. Acordion No. 482, Sukabumi 95395, Kalteng","Generated Static Data"
P-00135,assigned,"Jati Tamba","Jln. Yap Tjwan Bing No. 356, Sorong 12640, Sulteng","Generated Static Data"
P-00136,assigned,"Okto Widodo","Jln. Villa No. 359, Tebing Tinggi 21889, Sulteng","Generated Static Data"
P-00137,assigned,"Balangga Hutagalung S.Gz","Jln. Hayam Wuruk No. 724, Bitung 18009, Gorontalo","Generated Static Data"
P-00138,assigned,"Wakiman Gamanto Samosir","Jln. Ahmad Dahlan No. 528, Ambon 39418, Babel","Generated Static Data"
P-00139,assigned,"Gasti Kuswandari S.Farm","Jr. Sudirman No. 442, Padangpanjang 81623, DIY","Generated Static Data"
P-00140,assigned,"Jais Wibowo S.E.I","Ki. Fajar No. 281, Salatiga 32285, Aceh","Generated Static Data"
P-00141,assigned,"Putri Suartini","Gg. Siliwangi No. 413, Pekanbaru 59191, Sultra","Generated Static Data"
P-00142,assigned,"Hardi Prayoga Saputra S.Ked","Jln. Sukabumi No. 808, Palembang 49671, Bengkulu","Generated Static Data"
P-00143,assigned,"Karma Wibisono","Ds. Orang No. 782, Kupang 21507, Banten","Generated Static Data"
P-00144,assigned,"Radika Nainggolan","Kpg. Krakatau No. 546, Bukittinggi 40230, Jatim","Generated Static Data"
P-00145,assigned,"Putri Hesti Padmasari","Kpg. Camar No. 618, Parepare 69939, Sumbar","Generated Static Data"
P-00146,assigned,"Narji Mangunsong","Gg. Antapani Lama No. 568, Bima 42956, Riau","Generated Static Data"
P-00147,assigned,"Ilsa Mayasari","Jln. Nanas No. 356, Kupang 62027, Kalteng","Generated Static Data"
P-00148,assigned,"Lukman Limar Saragih","Jln. Suryo No. 61, Samarinda 90299, Gorontalo","Generated Static Data"
P-00149,assigned,"Oman Kusumo","Ki. Surapati No. 876, Serang 93921, Sulsel","Generated Static Data"
P-00150,assigned,"Restu Padmasari S.Farm","Gg. Panjaitan No. 633, Sabang 57717, Sumbar","Generated Static Data"
P-00151,assigned,"Bambang Tampubolon","Ki. Qrisdoren No. 817, Metro 88043, Riau","Generated Static Data"
P-00152,assigned,"Sadina Puti Laksita M.M.","Psr. Lumban Tobing No. 976, Probolinggo 12575, Sumbar","Generated Static Data"
P-00153,assigned,"Kania Sudiati","Dk. Arifin No. 765, Langsa 46591, Malut","Generated Static Data"
P-00154,assigned,"Tina Anita Rahayu","Jr. Cihampelas No. 600, Kediri 26026, Jambi","Generated Static Data"
P-00155,assigned,"Rina Genta Anggraini S.I.Kom","Jr. Baranang Siang No. 541, Gunungsitoli 64592, Banten","Generated Static Data"
P-00156,assigned,"Prabu Kurniawan","Jr. Bappenas No. 842, Palu 67508, NTB","Generated Static Data"
P-00157,assigned,"Naradi Saputra","Ki. Bakau No. 905, Sukabumi 87310, Jambi","Generated Static Data"
P-00158,assigned,"Praba Makara Waskita S.Farm","Dk. Baya Kali Bungur No. 136, Tarakan 33111, Sulbar","Generated Static Data"
P-00159,assigned,"Tiara Halimah S.Pt","Gg. S. Parman No. 491, Administrasi Jakarta Utara 81763, Sumsel","Generated Static Data"
P-00160,assigned,"Yahya Januar S.Farm","Jr. Basket No. 550, Banjar 86277, Lampung","Generated Static Data"
P-00161,assigned,"Kiandra Zulaika S.I.Kom","Jln. Gotong Royong No. 479, Subulussalam 29196, Banten","Generated Static Data"
P-00162,assigned,"Paulin Mandasari","Jln. Zamrud No. 927, Cimahi 30808, NTT","Generated Static Data"
P-00163,assigned,"Mariadi Setiawan","Dk. Antapani Lama No. 84, Administrasi Jakarta Selatan 45204, Papua","Generated Static Data"
P-00164,assigned,"Tira Sakura Mardhiyah","Jr. Batako No. 142, Banjarmasin 62309, Kalbar","Generated Static Data"
P-00165,assigned,"Gandi Teddy Hutapea S.T.","Ds. Ters. Kiaracondong No. 667, Lubuklinggau 72679, Jambi","Generated Static Data"
P-00166,assigned,"Puspa Safitri M.Kom.","Psr. Ters. Jakarta No. 480, Pagar Alam 23275, Sumbar","Generated Static Data"
P-00167,assigned,"Dina Usamah M.Pd","Psr. Suryo Pranoto No. 630, Tomohon 39645, Sumbar","Generated Static Data"
P-00168,assigned,"Citra Uli Rahmawati S.E.","Jr. Diponegoro No. 742, Sabang 17400, Kalteng","Generated Static Data"
P-00169,assigned,"Nurul Alika Wahyuni","Ki. Bak Mandi No. 714, Semarang 95714, Jambi","Generated Static Data"
P-00170,assigned,"Cager Hutagalung","Psr. PHH. Mustofa No. 504, Kupang 33149, Maluku","Generated Static Data"
P-00171,assigned,"Zamira Hamima Pratiwi","Dk. Flores No. 419, Surabaya 48546, Jatim","Generated Static Data"
P-00172,assigned,"Saka Mahendra","Gg. Hayam Wuruk No. 598, Sungai Penuh 29800, Sulbar","Generated Static Data"
P-00173,assigned,"Elma Palastri","Ds. B.Agam Dlm No. 730, Malang 59859, Babel","Generated Static Data"
P-00174,assigned,"Ghaliyati Utami M.Farm","Kpg. Yoga No. 968, Bandung 83285, Sumsel","Generated Static Data"
P-00175,assigned,"Galang Megantara M.M.","Ki. Kartini No. 193, Probolinggo 49844, DKI","Generated Static Data"
P-00176,assigned,"Sidiq Putra","Ds. Gatot Subroto No. 496, Bukittinggi 66244, Jatim","Generated Static Data"
P-00177,assigned,"Harja Manah Halim","Ds. Dipatiukur No. 975, Gunungsitoli 92674, Jambi","Generated Static Data"
P-00178,assigned,"Balapati Nyana Manullang S.Sos","Ki. Bara No. 124, Ambon 25441, Sultra","Generated Static Data"
P-00179,assigned,"Budi Tarihoran","Jr. Moch. Yamin No. 968, Administrasi Jakarta Barat 13887, Sulbar","Generated Static Data"
P-00180,assigned,"Manah Hardiansyah","Ki. Jayawijaya No. 850, Yogyakarta 18723, Sumut","Generated Static Data"
P-00181,assigned,"Anastasia Laksmiwati","Ds. Barasak No. 871, Cilegon 50586, Sulut","Generated Static Data"
P-00182,assigned,"Jasmin Kusmawati","Gg. Yap Tjwan Bing No. 382, Pangkal Pinang 98979, Babel","Generated Static Data"
P-00183,assigned,"Cindy Purnawati","Jln. Kali No. 836, Administrasi Jakarta Barat 97749, Aceh","Generated Static Data"
P-00184,assigned,"Estiawan Wawan Sihombing S.Kom","Ki. Ters. Buah Batu No. 414, Bitung 83323, Malut","Generated Static Data"
P-00185,assigned,"Azalea Kamila Rahmawati","Gg. Kebangkitan Nasional No. 574, Probolinggo 78592, Sulteng","Generated Static Data"
P-00186,assigned,"Gaiman Sinaga S.Kom","Jln. Baung No. 639, Tarakan 78645, Sulteng","Generated Static Data"
P-00187,assigned,"Kartika Laras Handayani","Ki. Siliwangi No. 575, Yogyakarta 83512, Malut","Generated Static Data"
P-00188,assigned,"Cagak Okta Santoso S.I.Kom","Jr. Dahlia No. 771, Surakarta 22501, Sulteng","Generated Static Data"
P-00189,assigned,"Yulia Pertiwi","Jln. Basket No. 441, Pagar Alam 36916, Papua","Generated Static Data"
P-00190,assigned,"Empluk Tampubolon S.Gz","Ds. Ronggowarsito No. 473, Bontang 84015, Jambi","Generated Static Data"
P-00191,assigned,"Ibrahim Rajata","Ki. Arifin No. 769, Serang 50343, Lampung","Generated Static Data"
P-00192,assigned,"Ellis Febi Permata","Dk. Pacuan Kuda No. 714, Pasuruan 97351, Jateng","Generated Static Data"
P-00193,assigned,"Catur Simanjuntak","Kpg. Radio No. 288, Administrasi Jakarta Barat 90202, Sultra","Generated Static Data"
P-00194,assigned,"Bakidin Mansur","Kpg. Ciumbuleuit No. 197, Administrasi Jakarta Selatan 98695, Malut","Generated Static Data"
P-00195,assigned,"Gara Pradana S.IP","Jln. Bakau Griya Utama No. 452, Jayapura 61580, Sumut","Generated Static Data"
P-00196,assigned,"Galuh Umay Mahendra","Ki. Gedebage Selatan No. 256, Metro 12923, Kaltim","Generated Static Data"
P-00197,assigned,"Syahrini Yuniar","Kpg. Ters. Kiaracondong No. 266, Bau-Bau 55387, DKI","Generated Static Data"
P-00198,assigned,"Jarwadi Hardiansyah","Ki. Bagas Pati No. 815, Palangka Raya 76256, Jambi","Generated Static Data"
P-00199,assigned,"Padma Safitri","Kpg. Bakaru No. 247, Banjarmasin 15400, DIY","Generated Static Data"
P-00200,assigned,"Irfan Tarihoran","Dk. Bak Air No. 569, Pangkal Pinang 79924, Aceh","Generated Static Data"
P-00201,assigned,"Cakrabirawa Mahendra","Kpg. Abang No. 278, Yogyakarta 55166, Papua","Generated Static Data"
P-00202,assigned,"Daruna Maryadi","Kpg. Zamrud No. 844, Tangerang 51779, Gorontalo","Generated Static Data"
P-00203,assigned,"Michelle Padmi Padmasari M.TI.","Kpg. Basmol Raya No. 169, Solok 46632, Sulsel","Generated Static Data"
P-00204,assigned,"Winda Utami","Psr. Merdeka No. 99, Depok 29801, Gorontalo","Generated Static Data"
P-00205,assigned,"Ana Halimah M.M.","Ki. Jakarta No. 380, Pangkal Pinang 81636, Gorontalo","Generated Static Data"
P-00206,assigned,"Tedi Prasetya S.Gz","Jln. M.T. Haryono No. 14, Sungai Penuh 36951, Bali","Generated Static Data"
P-00207,assigned,"Cakrawangsa Saputra","Ds. Cikapayang No. 92, Bau-Bau 58292, Riau","Generated Static Data"
P-00208,assigned,"Manah Utama","Jr. Zamrud No. 38, Tegal 91880, Kaltara","Generated Static Data"
P-00209,assigned,"Baktiadi Jailani","Jr. Sumpah Pemuda No. 780, Administrasi Jakarta Timur 47682, Malut","Generated Static Data"
P-00210,assigned,"Ivan Sitompul","Psr. Kiaracondong No. 145, Tomohon 71081, Jateng","Generated Static Data"
P-00211,assigned,"Vicky Winarsih","Jln. Setiabudhi No. 373, Palu 38213, Banten","Generated Static Data"
P-00212,assigned,"Puti Prastuti","Jln. Abdul Rahmat No. 533, Depok 27111, Papua","Generated Static Data"
P-00213,assigned,"Zizi Vicky Wastuti S.IP","Jr. Camar No. 190, Malang 26666, Jabar","Generated Static Data"
P-00214,assigned,"Karsa Uwais","Psr. Urip Sumoharjo No. 789, Gunungsitoli 78626, Sumsel","Generated Static Data"
P-00215,assigned,"Kusuma Wibowo","Kpg. Samanhudi No. 310, Tomohon 82787, Jatim","Generated Static Data"
P-00216,assigned,"Eluh Kairav Mahendra S.T.","Ki. Basoka No. 873, Balikpapan 81371, Kalsel","Generated Static Data"
P-00217,assigned,"Hafshah Wijayanti S.IP","Kpg. Sam Ratulangi No. 370, Bukittinggi 14151, Sulut","Generated Static Data"
P-00218,assigned,"Kambali Winarno","Gg. Sumpah Pemuda No. 545, Pontianak 47712, DIY","Generated Static Data"
P-00219,assigned,"Rendy Murti Waskita S.Pt","Psr. Raya Ujungberung No. 470, Surakarta 69935, Aceh","Generated Static Data"
P-00220,assigned,"Chandra Tamba","Psr. Bawal No. 430, Kupang 34990, Babel","Generated Static Data"
P-00221,assigned,"Hasna Anita Utami S.Kom","Jln. Muwardi No. 39, Subulussalam 89978, Pabar","Generated Static Data"
P-00222,assigned,"Zelda Maryati","Psr. Gegerkalong Hilir No. 513, Malang 88206, NTB","Generated Static Data"
P-00223,assigned,"Cecep Hutagalung","Kpg. Madiun No. 513, Surabaya 26778, Maluku","Generated Static Data"
P-00224,assigned,"Vinsen Joko Megantara","Jr. Gremet No. 455, Solok 23078, Jateng","Generated Static Data"
